Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
2024,"Aaron Judge","NYY",158,704,58,122,144,10,0.188920454,0.242897727,0.379248659,0.367469879,0.322003577,0.458036984,0.701252236,0.4757340011100992,0.4796257916618796,219.7835722854021,-0.495271660387516,95.99322220590903,-9.57552433013916,11.334959280427839,"Aaron Judge",15640,592450
2022,"Aaron Judge","NYY",157,696,62,133,131,16,0.159482758,0.251436781,0.375438597,0.340236686,0.310526315,0.424855491,0.685964912,0.45819641417238366,0.46335875828113354,206.15483678377262,1.0462565836496651,84.18747212830398,-0.5701513290405273,11.09254742571633,"Aaron Judge",15640,592450
2024,"Bobby Witt Jr.","KCR",161,709,32,125,109,31,0.080394922,0.149506346,0.256289308,0.35375494,0.331761006,0.389280677,0.588050314,0.40973835374627793,0.40702545166015625,169.13393177564416,4.4858090952038765,60.57034097208533,17.496928215026855,10.489661984608478,"Bobby Witt Jr.",25764,677951
2018,"Mookie Betts","BOS",136,614,32,129,80,30,0.131921824,0.148208469,0.294230769,0.368159203,0.346153846,0.438110749,0.640384615,0.44889713366432943,0.43140048917345825,184.99697360216607,7.713734317338094,70.10237001055295,7.858675479888916,10.186041822155971,"Mookie Betts",13611,605141
2025,"Aaron Judge","NYY",152,679,53,137,114,12,0.182621502,0.235640648,0.356746765,0.376119402,0.330868761,0.456553755,0.687615526,0.46277131105470437,0.45774143831964215,204.45786957330023,-4.1427703108638525,79.45284778761305,-3.845034122467041,10.12667684956468,"Aaron Judge",15640,592450
2018,"Mike Trout","LAA",140,608,39,101,79,24,0.200657894,0.203947368,0.316348196,0.346153846,0.31210191,0.459637561,0.628450106,0.44656093495408283,0.43475071288222084,188.3163034838783,3.807369278045371,67.99895695970783,2.6888165175914764,9.416220685806527,"Mike Trout",10155,545361
2015,"Bryce Harper","WSN",153,654,42,118,99,6,0.189602446,0.20030581,0.318618042,0.369318181,0.330134357,0.460244648,0.648752399,0.46116795739470884,0.4179707780669007,197.24400551674682,3.6296336562372744,77.73427418406433,-10.170888423919678,9.315671460921347,"Bryce Harper",11579,547180
2015,"Mike Trout","LAA",159,682,41,104,90,11,0.13489736,0.231671554,0.290434783,0.34383202,0.299130434,0.40175953,0.589565217,0.41484196903462894,0.4221493820259474,170.55490867335595,3.0003852494992316,58.68252778465372,6.640708088874817,9.299004321660998,"Mike Trout",10155,545361
2023,"Ronald Acuña Jr.","ATL",159,735,41,149,106,73,0.108843537,0.114285714,0.258164853,0.3378119,0.337480559,0.41632653,0.595645412,0.4275971621763511,0.46039666998876283,171.44872736850394,8.872128100600094,73.93006614811547,-7.129061259329319,9.153116675976307,"Ronald Acuna Jr.",18401,660670
2025,"Cal Raleigh","SEA",159,705,60,110,125,14,0.137588652,0.266666666,0.342281879,0.247863247,0.246644295,0.358865248,0.588926174,0.39200781996166983,0.369071738664494,161.1147743082231,-2.760269746184349,48.021508437442925,16.293894536793232,9.062879105971586,"Cal Raleigh",21534,663728
2024,"Shohei Ohtani","LAD",159,731,54,134,130,59,0.110807113,0.221614227,0.336477988,0.336470588,0.309748427,0.39010989,0.646226415,0.43054929176412915,0.4418599758307582,179.6782932394558,9.73534832149744,79.38495752480254,-17.17592430114746,8.94855915206399,"Shohei Ohtani",19755,660271
2015,"Josh Donaldson","TOR",158,711,41,122,123,6,0.102672292,0.187060478,0.270967742,0.313596491,0.296774193,0.370944992,0.567741935,0.3976067846013057,0.38842045375279016,154.36356802215496,4.049022206570953,48.77726972703084,10.058276891708374,8.710970096190609,"Josh Donaldson",5038,518626
2017,"Aaron Judge","NYY",155,678,52,128,114,9,0.187315634,0.30678466,0.343173432,0.356643356,0.284132841,0.421828908,0.627306273,0.430184422851145,0.45026038000891516,173.81664358316738,-1.1619200762361288,60.58692674294786,4.345730304718018,8.694270303324082,"Aaron Judge",15640,592450
2016,"Mike Trout","LAA",159,681,29,123,100,30,0.170337738,0.201174743,0.234972677,0.37113402,0.315118397,0.440528634,0.550091074,0.4181868717274858,0.42560436020948983,170.13343017811232,5.115160326939076,62.458904154417574,-1.077624797821045,8.636526911103525,"Mike Trout",10155,545361
2019,"Alex Bregman","HOU",156,690,41,122,112,5,0.172463768,0.120289855,0.296028881,0.280821917,0.29602888,0.423188405,0.592057761,0.4184302281328412,0.3747158107134992,167.2945410107893,-1.1462767701596022,58.19992172042176,2.543207049369812,8.32339222268343,"Alex Bregman",17678,608324
2024,"Juan Soto","NYY",157,713,41,128,109,7,0.180925666,0.16690042,0.28125,0.297619047,0.288194444,0.419354838,0.569444444,0.4205848819428188,0.462612695519107,180.99055562627643,-3.8687386885285378,62.20509648624051,-5.565011024475098,8.290403914187088,"Juan Soto",20123,665742
2025,"Bobby Witt Jr.","KCR",157,687,23,99,88,38,0.071324599,0.181950509,0.205457464,0.334024896,0.295345104,0.350800582,0.500802568,0.36028863131912187,0.3629063487758298,129.71644196602443,7.413172552362084,31.47486219598688,23.18013095855713,8.011112534654776,"Bobby Witt Jr.",25764,677951
2024,"Gunnar Henderson","BAL",159,719,37,118,92,21,0.108484005,0.221140472,0.247619048,0.319634703,0.28095238,0.364394993,0.528571428,0.38146476194387025,0.3728841714925699,153.79507079266284,3.9880658090114594,48.24455726015132,4.381449222564697,7.896378175117105,"Gunnar Henderson",26289,683002
2018,"Alex Bregman","HOU",157,705,31,105,103,10,0.136170212,0.120567375,0.245791245,0.288981288,0.286195286,0.394326241,0.531986531,0.3956216221852798,0.368957039969308,156.85365787601754,3.4300042835529894,51.34607351365166,1.2200030088424683,7.892145891297698,"Alex Bregman",17678,608324
2018,"Francisco Lindor","CLE",158,745,38,129,92,25,0.093959731,0.143624161,0.242057489,0.279383429,0.276853252,0.351752021,0.518910741,0.3683644672640327,0.3776138326768888,131.52387068417264,1.4326973902061582,29.508324459755485,20.749229907989502,7.795275590259354,"Francisco Lindor",12916,596019
2019,"Cody Bellinger","LAD",156,660,47,121,115,15,0.143939393,0.163636363,0.32437276,0.302211302,0.304659498,0.406060606,0.629032258,0.4149256520241452,0.42969840943343995,160.62181817164873,1.4570108382031322,54.24541786887088,4.745355129241943,7.776924476670825,"Cody Bellinger",15998,641355
2024,"Francisco Lindor","NYM",152,689,33,107,91,29,0.081277213,0.184325108,0.226537217,0.295010845,0.273462783,0.343976777,0.5,0.36288581496572286,0.3789471471032431,136.87564878805517,4.003861710429192,34.386128730566824,17.448684215545654,7.732129732801081,"Francisco Lindor",12916,596019
2017,"Jose Altuve","HOU",153,662,24,112,81,32,0.087613293,0.126888217,0.201694916,0.37037037,0.345762711,0.409984871,0.547457627,0.4050184821647714,0.36023612235470437,159.64068041446606,5.442379793617874,54.15544326459935,1.3156350255012512,7.699925866992335,"Jose Altuve",5417,514888
2023,"Freddie Freeman","LAD",161,730,29,131,102,23,0.098630136,0.165753424,0.235478807,0.369918699,0.331240188,0.409589041,0.566718995,0.4105788874426924,0.40562010011472904,161.00684644710662,4.532508202362806,59.70465640348218,-7.328186988830566,7.697786418950764,"Freddie Freeman",5361,518692
2018,"Christian Yelich","MIL",147,651,36,118,110,22,0.104454685,0.207373271,0.271777003,0.372839506,0.325783972,0.402457757,0.597560975,0.4219775666441131,0.4171581917872001,167.08411105734618,6.350333677837625,59.67035097125246,-5.0646533370018005,7.67183580340772,"Christian Yelich",11477,592885
2019,"Mike Trout","LAA",134,600,45,110,104,11,0.183333333,0.2,0.35319149,0.297734627,0.291489361,0.438333333,0.644680851,0.4364301597909309,0.46111326646639816,176.56422379657047,2.567586882971227,61.28151180310328,-4.2666730880737305,7.645156685654951,"Mike Trout",10155,545361
2018,"José Ramírez","CLE",157,698,39,110,105,34,0.151862464,0.11461318,0.282006921,0.251612903,0.269896193,0.386819484,0.551903114,0.39148628310263595,0.364609106263118,147.3023009774801,6.0993145001120865,45.569697875105426,4.554235219955444,7.6161188813997605,"Jose Ramirez",13510,608070
2023,"Mookie Betts","LAD",152,693,39,126,107,14,0.138528138,0.154401154,0.272260274,0.316027088,0.306506849,0.408369408,0.578767123,0.4164887061153633,0.40743483391360963,164.96869536137436,0.7356387563049793,56.5127269249588,-3.8929604291915894,7.596605447880922,"Mookie Betts",13611,605141
2016,"Kris Bryant","CHC",155,699,39,121,102,8,0.107296137,0.220314735,0.262023217,0.331719128,0.291873963,0.384835479,0.55389718,0.3963114254241031,0.38608775681031343,148.3360127592453,2.7166599340271205,44.32829224060419,7.026053786277771,7.522582376476212,"Kris Bryant",15429,592178
